date,portfolio,nav,dailyreturn
2025-05-05,moderate,9999.999999999998,
2025-05-06,moderate,9916.998016264526,-0.00830019837354723
2025-05-07,moderate,9957.848800975458,0.0041192692227964844
2025-05-08,moderate,10029.294367435072,0.007174799285224687
2025-05-09,moderate,10020.257845660864,-0.0009010127176592997
2025-05-12,moderate,10362.114227237436,0.03411652542699861
2025-05-13,moderate,10439.304419269838,0.00744927051947597
2025-05-14,moderate,10449.073430838582,0.0009357914259795486
2025-05-15,moderate,10494.955501372839,0.004391018097245292
2025-05-16,moderate,10558.681346231253,0.006072045264992054
2025-05-19,moderate,10564.584684722846,0.0005590980822336444
2025-05-20,moderate,10526.941148580387,-0.0035631818254904246
2025-05-21,moderate,10349.394887621142,-0.016865892803360816
2025-05-22,moderate,10350.427505003727,9.97756287974827e-05
2025-05-23,moderate,10278.859731743698,-0.006914475100224693
2025-05-27,moderate,10489.143175755633,0.020457857145625535
2025-05-28,moderate,10430.950885578828,-0.005547859267600486
2025-05-29,moderate,10474.384504495212,0.004163917498301473
2025-05-30,moderate,10463.955383315644,-0.000995678664946098
2025-06-02,moderate,10521.228888515452,0.005473408773428945
2025-06-03,moderate,10590.348643418187,0.006569551488247116
2025-06-04,moderate,10590.799812034247,4.260186621340978e-05
2025-06-05,moderate,10540.12077224597,-0.004785194762221057
2025-06-06,moderate,10649.09296016115,0.010338798792716375
2025-06-09,moderate,10657.334246322072,0.0007738955976583917
2025-06-10,moderate,10721.208084328975,0.0059934160391887925
2025-06-11,moderate,10691.296933725947,-0.0027899048659215664
2025-06-12,moderate,10731.266244561373,0.0037384903892567767
2025-06-13,moderate,10610.244058142338,-0.011277530876691255
2025-06-16,moderate,10711.313867650628,0.009525681874464453
2025-06-17,moderate,10623.808051775413,-0.008169475468316922
2025-06-18,moderate,10619.581381626109,-0.00039784888137150975
2025-06-20,moderate,10594.33704812431,-0.0023771495875983817
2025-06-23,moderate,10689.852612780172,0.00901571889038344
2025-06-24,moderate,10805.901536048483,0.01085598908347607
2025-06-25,moderate,10810.272843978268,0.0004045296836365786
2025-06-26,moderate,10896.024037316052,0.007932380114304971
2025-06-27,moderate,10945.440653093718,0.0045352887996967794
2025-06-30,moderate,11005.136940347047,0.005453986654841092
2025-07-01,moderate,11000.222171608888,-0.0004465886035585065
2025-07-02,moderate,11059.851467050927,0.00542073555531819
2025-07-03,moderate,11145.193636616283,0.007716393824962697
2025-07-07,moderate,11060.685905710934,-0.007582437206627657
2025-07-08,moderate,11057.200323403173,-0.00031513256388215893
2025-07-09,moderate,11126.257681365947,0.006245465031198716
2025-07-10,moderate,11154.565532972016,0.0025442383608891284
2025-07-11,moderate,11113.478739875784,-0.0036834059538027875
2025-07-14,moderate,11129.487157037522,0.0014404506038510068
2025-07-15,moderate,11082.359674527856,-0.004234470272052593
2025-07-16,moderate,11117.243337321443,0.0031476746665932698
2025-07-17,moderate,11188.636371450211,0.006421828861935319
2025-07-18,moderate,11181.435280519354,-0.0006436075578639677
2025-07-21,moderate,11198.94365124102,0.001565842871010359
2025-07-22,moderate,11204.997225099185,0.0005405486487553013
2025-07-23,moderate,11294.218888945878,0.00796266719699279
2025-07-24,moderate,11304.84590852375,0.0009409255905490355
2025-07-25,moderate,11350.18561672668,0.004010643627503585
2025-07-28,moderate,11352.33458986028,0.0001893337436202902
2025-07-29,moderate,11327.203593669805,-0.002213729342766424
2025-07-30,moderate,11309.639067379865,-0.0015506498267371382
2025-07-31,moderate,11266.516252530357,-0.0038129258230606977
2025-08-01,moderate,11081.274116088473,-0.01644182924781923
2025-08-04,moderate,11249.499967645215,0.015181092877442959
2025-08-05,moderate,11195.64544240932,-0.004787281691700618
2025-08-06,moderate,11282.135136753008,0.00772529773192554
2025-08-07,moderate,11283.896128805929,0.00015608677183664987
2025-08-08,moderate,11373.271017197281,0.007920569931797905
2025-08-11,moderate,11344.801238518578,-0.0025032181714174095
2025-08-12,moderate,11467.83515140644,0.0108449597574376
2025-08-13,moderate,11509.90123279317,0.0036681798117381703
2025-08-14,moderate,11506.653816216907,-0.000282141133149838
2025-08-15,moderate,11484.579789554331,-0.0019183706240876175
2025-08-18,moderate,11480.593686687467,-0.0003470830400332803
2025-08-19,moderate,11410.71509827952,-0.006086670281605477
2025-08-20,moderate,11380.720762529334,-0.002628611396555458
2025-08-21,moderate,11334.879292357335,-0.0040279935804181655
2025-08-22,moderate,11513.123727951803,0.015725305139742574
2025-08-25,moderate,11465.169001232376,-0.004165222910182176
2025-08-26,moderate,11510.102724719834,0.00391915055788794
2025-08-27,moderate,11538.783862977245,0.0024918229613897225
2025-08-28,moderate,11581.848146674296,0.003732133664035908
2025-08-29,moderate,11512.98428130786,-0.005945844263742228
2025-09-02,moderate,11433.692019944518,-0.006887203128738584
2025-09-03,moderate,11486.972626657458,0.00465996518185019
2025-09-04,moderate,11580.08817533338,0.008106187043558588
2025-09-05,moderate,11550.515220607378,-0.002553776299302646
2025-09-08,moderate,11579.299520015584,0.002492035970555806
2025-09-09,moderate,11602.049700068565,0.0019647285238331147
2025-09-10,moderate,11633.999932603543,0.0027538437914802483
2025-09-11,moderate,11730.295009270912,0.008277039472684544
2025-09-12,moderate,11723.007487808562,-0.0006212564523391251
2025-09-15,moderate,11784.106415719265,0.005211881675776686
2025-09-16,moderate,11771.809464959566,-0.001043520002780629
2025-09-17,moderate,11760.300530703656,-0.0009776690907347119
2025-09-18,moderate,11818.644400104904,0.004961086602244924
2025-09-19,moderate,11872.733783467382,0.004576614841038662
2025-09-22,moderate,11932.081686933308,0.004998672129629345
2025-09-23,moderate,11867.284487128514,-0.005430502531318826
2025-09-24,moderate,11830.902466506192,-0.00306574100096646
2025-09-25,moderate,11778.51287594382,-0.004428199007699529
2025-09-26,moderate,11844.565673280887,0.005607906365834525
2025-09-29,moderate,11872.957156366518,0.0023970049952677375
2025-09-30,moderate,11913.303513848992,0.0033981725825431575
2025-10-01,moderate,11961.124103450802,0.0040140494654752334
2025-10-02,moderate,11973.631097773003,0.0010456370332778686
2025-10-03,moderate,11975.559354261739,0.0001610419156052867
2025-10-06,moderate,12019.131557758908,0.0036384274177274634
2025-10-07,moderate,11971.631080933448,-0.0039520722938419794
2025-10-08,moderate,12039.101159899588,0.005635830114544271
2025-10-09,moderate,12003.748577227463,-0.0029364802407242374
2025-10-10,moderate,11680.783056140166,-0.026905388679999587
2025-10-13,moderate,11862.59609072174,0.015565140941985023
2025-10-14,moderate,11844.757330273644,-0.0015037821663714812
2025-10-15,moderate,11895.845965737195,0.004313185491185756
2025-10-16,moderate,11819.121117380566,-0.006449717706299651
2025-10-17,moderate,11888.075763461999,0.005834160205028471
2025-10-20,moderate,12013.476350852297,0.010548434404810791
2025-10-21,moderate,12014.535100989398,8.813020529441218e-05
2025-10-22,moderate,11956.244994629964,-0.0048516322828533465
2025-10-23,moderate,12030.294447644694,0.006193370330566772
2025-10-24,moderate,12126.805247246031,0.008022314002483322
2025-10-27,moderate,12271.52929312395,0.01193422694000823
2025-10-28,moderate,12299.57420326799,0.0022853639081279464
2025-10-29,moderate,12305.246539445036,0.00046118150785567913
2025-10-30,moderate,12177.225964350955,-0.010403739143600599
2025-10-31,moderate,12212.869923503036,0.002927100084734402
2025-11-03,moderate,12229.22956330504,0.0013395409845904371
2025-11-04,moderate,12087.4213201143,-0.011595844403497813
2025-11-05,moderate,12126.071318902914,0.0031975388103910873
2025-11-06,moderate,11995.006312024796,-0.010808530102722202
2025-11-07,moderate,12010.015410782069,0.0012512789378216205
2025-11-10,moderate,12195.529092074112,0.01544658145280109
2025-11-11,moderate,12225.90194472351,0.0024904907708462876
2025-11-12,moderate,12227.966264057834,0.0001688480198562825
2025-11-13,moderate,12027.99709233614,-0.016353428477266174
2025-11-14,moderate,12024.200007998044,-0.0003156871679420581
2025-11-17,moderate,11913.359367712244,-0.009218130121926849
2025-11-18,moderate,11822.442623183155,-0.007631495174693859
2025-11-19,moderate,11865.916421914128,0.0036772264511331088
2025-11-20,moderate,11690.793779023481,-0.014758459158470738
2025-11-21,moderate,11805.118554801811,0.0097790430606568
2025-11-24,moderate,11982.172498049715,0.014998065663295312
2025-11-25,moderate,12099.117358780566,0.009759904620792792
2025-11-26,moderate,12178.274316812154,0.006542374595130518
2025-11-28,moderate,12246.019418123426,0.0055627833261850945
2025-12-01,moderate,12191.893841284662,-0.0044198506462157505
2025-12-02,moderate,12215.120642781721,0.0019051020128151297
2025-12-03,moderate,12258.401795713544,0.003543244000410173
2025-12-04,moderate,12270.310711520338,0.0009714900853519115
2025-12-05,moderate,12292.320708803692,0.0017937603864170981
2025-12-08,moderate,12253.37989953056,-0.003167897274697906
2025-12-09,moderate,12241.026784210162,-0.0010081394212605455
2025-12-10,moderate,12323.369477884145,0.006726779960991358
2025-12-11,moderate,12352.43635785614,0.0023586795822490014
2025-12-12,moderate,12216.388875528539,-0.011013817710631257
2025-12-15,moderate,12188.387152125018,-0.0022921440770121704
2025-12-16,moderate,12156.087556509889,-0.002650030329033215
2025-12-17,moderate,12025.698553407065,-0.010726230993046593
2025-12-18,moderate,12113.515660758163,0.007302453737809467
2025-12-19,moderate,12221.418099255887,0.00890760713235994
2025-12-22,moderate,12297.813818283561,0.006250970092605446
2025-12-23,moderate,12351.219142131986,0.004342668106507297
2025-12-24,moderate,12390.214849799304,0.0031572355099989124
2025-12-26,moderate,12389.381755668644,-6.723806977992908e-05
2025-12-29,moderate,12347.944978552172,-0.0033445395366490382
2025-12-30,moderate,12334.181471807924,-0.0011146394617205235
2025-12-31,moderate,12244.886396928738,-0.007239643350739344
2026-01-02,moderate,12269.272250124957,0.001991513224846031
2026-01-05,moderate,12350.565223528738,0.006625737186894076
2026-01-06,moderate,12419.834098678797,0.005608559114209433
2026-01-07,moderate,12379.036993936796,-0.003284834919521251
2026-01-08,moderate,12378.552502436089,-3.913806065403147e-05
2026-01-09,moderate,12454.470588015562,0.0061330341786354214
2026-01-12,moderate,12469.177707181261,0.0011808706810751968
2026-01-13,moderate,12442.820427197992,-0.0021137945582481166
2026-01-14,moderate,12385.996150463296,-0.0045668325012943045
2026-01-15,moderate,12413.81478439008,0.0022459746950385107
2026-01-16,moderate,12402.532235286926,-0.000908870423726782
2026-01-20,moderate,12149.054126696756,-0.0204376093350509
2026-01-21,moderate,12285.184506504287,0.01120501879305924
2026-01-22,moderate,12354.291387176956,0.005625221227738342
2026-01-23,moderate,12359.119903826193,0.0003908371996348414
2026-01-26,moderate,12426.791695019596,0.0054754538931574
2026-01-27,moderate,12481.439998584216,0.004397619667715347
2026-01-28,moderate,12481.182265544488,-2.0649303265951602e-05
2026-01-29,moderate,12455.049821197475,-0.0020937475145407225
2026-01-30,moderate,12414.851911362663,-0.003227438702525287
2026-02-02,moderate,12479.54075818827,0.005210601567176232
2026-02-03,moderate,12375.813781345956,-0.008311762335825978
2026-02-04,moderate,12321.984838316803,-0.004349527552708454
2026-02-05,moderate,12169.879468150815,-0.012344226369520928
2026-02-06,moderate,12405.677414402235,0.01937553669849512
2026-02-09,moderate,12464.9033530682,0.004774099526174025
2026-02-10,moderate,12429.359170492296,-0.002851540968198174
2026-02-11,moderate,12430.165257616176,6.485347416718135e-05
2026-02-12,moderate,12233.037092137492,-0.01585885315224589
2026-02-13,moderate,12236.657078831235,0.00029591888477709105
2026-02-17,moderate,12251.378042449285,0.0012030216686809148
2026-02-18,moderate,12317.684966277275,0.005412201272236183
2026-02-19,moderate,12292.994822215729,-0.0020044467876180194
2026-02-20,moderate,12377.293354344805,0.006857444694984505
2026-02-23,moderate,12251.64203263014,-0.010151760818576605
2026-02-24,moderate,12343.330907830476,0.007483802983807353
2026-02-25,moderate,12444.999037626609,0.008236685101882468
2026-02-26,moderate,12372.167428816732,-0.0058522791837648525
2026-02-27,moderate,12315.1766443557,-0.004606370289517048
2026-03-02,moderate,12326.410923350519,0.0009122304388518021
2026-03-03,moderate,12222.061977058625,-0.008465476848108278
2026-03-04,moderate,12301.827174766348,0.006526329015304144
2026-03-05,moderate,12233.649722784709,-0.005542058997665467
2026-03-06,moderate,12076.830957503784,-0.012818641111560947
2026-03-09,moderate,12185.997408827086,0.009039329250151829
2026-03-10,moderate,12159.388684706555,-0.002183549136589913
2026-03-11,moderate,12156.094474115433,-0.0002709190960615837
2026-03-12,moderate,11981.87903434905,-0.01433153058635317
2026-03-13,moderate,11910.820676647938,-0.005930485318488388
2026-03-16,moderate,12027.764074676179,0.009818248565988119
2026-03-17,moderate,12063.12335709305,0.002939805120663941
2026-03-18,moderate,11900.28829477368,-0.013498582207867815
2026-03-19,moderate,11879.26932548727,-0.0017662571498910928
2026-03-20,moderate,11710.761291819166,-0.014185050363877627
2026-03-23,moderate,11839.881078016348,0.011025738035270294
2026-03-24,moderate,11799.022356650325,-0.0034509401823205055
2026-03-25,moderate,11865.05733020172,0.005596647887879946
2026-03-26,moderate,11669.724563866526,-0.016462859040553224
2026-03-27,moderate,11476.627662247072,-0.01654682598228141
2026-03-30,moderate,11439.950471465687,-0.003195816041156152
2026-03-31,moderate,11760.44361176857,0.02801525593159493
2026-04-01,moderate,11836.293486976607,0.006449576028929371
2026-04-02,moderate,11858.192950959005,0.001850196094452583
2026-04-06,moderate,11913.710209713228,0.004681763822179441
2026-04-07,moderate,11917.607402955917,0.00032711835138576895
2026-04-08,moderate,12201.010976128218,0.02378024074714946
2026-04-09,moderate,12261.973638398433,0.004996525483789149
2026-04-10,moderate,12252.39669469293,-0.00078102791507495
2026-04-13,moderate,12374.1394863964,0.009936243066321904
2026-04-14,moderate,12512.012480806961,0.011142026850605058
2026-04-15,moderate,12615.886638481808,0.008301954448509896
2026-04-16,moderate,12647.707147395708,0.002522257041913889
2026-04-17,moderate,12794.623991983808,0.01161608526161606
2026-04-20,moderate,12774.392057158828,-0.0015812840484922264
2026-04-21,moderate,12696.938591805458,-0.006063182107360232
2026-04-22,moderate,12830.539433965418,0.010522287809298092
2026-04-23,moderate,12780.61718344412,-0.003890892567551929
2026-04-24,moderate,12875.76898886772,0.007445008645346141
2026-04-27,moderate,12895.846918474419,0.001559357707027642
2026-04-28,moderate,12835.456846419973,-0.0046829085701949325
2026-04-29,moderate,12842.369768331273,0.0005385801217685504
2026-04-30,moderate,12959.654661493227,0.009132651938676739
2026-05-01,moderate,12997.442747994897,0.002915825111756254
2026-05-04,moderate,12951.339673633785,-0.0035470880891723677
2026-05-05,moderate,13051.361669513084,0.007722907313049809
